Year,AP Rank,Team,Conference,Wins,Losses,Points,BCS Rank
1998,1,Tennessee,SEC,12,0,1750,1
1998,2,Florida State,ACC,11,1,1671,2
1998,3,Ohio State,Big Ten,10,1,1602,4
1998,4,Kansas State,Big 12,11,1,1476,3
1998,5,Arizona,Pac-10,11,1,1412,7
1998,6,UCLA,Pac-10,10,1,1398,5
1998,7,Florida,SEC,9,2,1337,8
1998,8,Texas A&M,Big 12,11,2,1310,6
1998,9,Wisconsin,Big Ten,10,1,1176,9
1998,10,Tulane,C-USA,11,0,1067,10
1998,11,Arkansas,SEC,9,2,960,13
1998,12,Georgia Tech,ACC,9,2,874,14
1998,13,Virginia,ACC,9,2,817,12
1998,14,Nebraska,Big 12,9,3,815,11
1998,15,Michigan,Big Ten,9,3,793,NR
1998,16,Air Force,WAC,11,1,689,NR
1998,17,Notre Dame,Ind,9,2,665,NR
1998,18,Syracuse,Big East,8,3,610,15
1998,19,Georgia,SEC,8,3,478,NR
1998,20,Texas,Big 12,8,3,442,NR
1998,21,Oregon,Pac-10,8,3,322,NR
1998,22,Penn State,Big Ten,8,3,293,NR
1998,23,Missouri,Big 12,7,4,206,NR
1998,24,Miami (FL),Big East,8,3,190,NR
1998,25,Mississippi State,SEC,8,4,159,NR
1999,1,Florida State,ACC,11,0,1744,1
1999,2,Virginia Tech,Big East,11,0,1685,2
1999,3,Nebraska,Big 12,11,1,1606,3
1999,4,Wisconsin,Big Ten,9,2,1482,7
1999,5,Alabama,SEC,10,2,1450,4
1999,6,Tennessee,SEC,9,2,1412,5
1999,7,Kansas State,Big 12,10,1,1336,6
1999,8,Michigan,Big Ten,9,2,1226,8
1999,9,Michigan State,Big Ten,9,2,1193,9
1999,10,Florida,SEC,9,3,1095,10
1999,11,Marshall,MAC,12,0,1047,12
1999,12,Minnesota,Big Ten,8,3,935,13
1999,13,Penn State,Big Ten,9,3,772,11
1999,14,Texas,Big 12,9,4,746,15
1999,15,Mississippi State,SEC,9,2,727,NR
1999,16,Southern Miss,C-USA,8,3,722,NR
1999,17,Georgia Tech,ACC,8,3,672,NR
1999,18,Texas A&M,Big 12,8,3,632,14
1999,19,Purdue,Big Ten,7,4,504,NR
1999,20,East Carolina,C-USA,9,2,431,NR
1999,21,Georgia,SEC,7,4,298,NR
1999,22,Stanford,Pac-10,8,3,270,NR
1999,23,Miami (FL),Big East,8,4,224,NR
1999,24,Arkansas,SEC,7,4,121,NR
1999,25,Boston College,Big East,8,3,112,NR
2000,1,Oklahoma,Big 12,12,0,1768,1
2000,2,Miami (FL),Big East,10,1,1693,3
2000,3,Florida State,ACC,11,1,1640,2
2000,4,Washington,Pac-10,10,1,1571,4
2000,5,Oregon State,Pac-10,10,1,1473,6
2000,6,Virginia Tech,Big East,10,1,1396,5
2000,7,Florida,SEC,10,2,1349,7
2000,8,Oregon,Pac-10,9,2,1207,10
2000,9,Nebraska,Big 12,9,2,1160,8
2000,10,Notre Dame,Ind,9,2,1086,11
2000,11,Kansas State,Big 12,10,3,1084,9
2000,12,Texas,Big 12,9,2,941,12
2000,13,TCU,WAC,10,1,867,14
2000,14,Purdue,Big Ten,8,3,810,NR
2000,15,Georgia Tech,ACC,9,2,803,13
2000,16,Clemson,ACC,9,2,776,15
2000,17,Michigan,Big Ten,8,3,754,16
2000,18,Northwestern,Big Ten,8,3,553,NR
2000,19,Ohio State,Big Ten,8,3,481,NR
2000,20,Auburn,SEC,9,3,450,NR
2000,21,Tennessee,SEC,8,3,336,NR
2000,22,Louisville,C-USA,9,2,232,NR
2000,23,Colorado State,MWC,9,2,198,NR
2000,24,Georgia,SEC,7,4,110,NR
2000,25,Toledo,MAC,10,1,84,NR
2001,1,Miami (FL),Big East,11,0,1800,1
2001,2,Oregon,Pac-10,10,1,1698,4
2001,3,Colorado,Big 12,10,2,1649,3
2001,4,Nebraska,Big 12,11,1,1556,2
2001,5,Florida,SEC,9,2,1396,5
2001,6,Maryland,ACC,10,1,1384,10
2001,7,Illinois,Big Ten,10,1,1381,8
2001,8,Tennessee,SEC,10,2,1309,6
